Date/Time,Energy Produced (Wh)
06/25/2023,59533
06/26/2023,44256
06/27/2023,33578
06/28/2023,62644
06/29/2023,78343
06/30/2023,73783
07/01/2023,46596
07/02/2023,51449
07/03/2023,78389
07/04/2023,72754
07/05/2023,93932
07/06/2023,56157
07/07/2023,49488
07/08/2023,79149
07/09/2023,12000
07/10/2023,70713
07/11/2023,90828
07/12/2023,79564
07/13/2023,80234
07/14/2023,68926
07/15/2023,68391
07/16/2023,35258
07/17/2023,72791
07/18/2023,78819
07/19/2023,51804
07/20/2023,78512
07/21/2023,72754
07/22/2023,95787
07/23/2023,88630
07/24/2023,65267
07/25/2023,56258
07/26/2023,86620
07/27/2023,68624
07/28/2023,84590
07/29/2023,66895
07/30/2023,90357
07/31/2023,80646
08/01/2023,86770
08/02/2023,83236
08/03/2023,59569
08/04/2023,37628
08/05/2023,65831
08/06/2023,71644
08/07/2023,29269
08/08/2023,54963
08/09/2023,79796
08/10/2023,21965
08/11/2023,85227
08/12/2023,70686
08/13/2023,82907
08/14/2023,44579
08/15/2023,51598
08/16/2023,65738
08/17/2023,62420
08/18/2023,77216
08/19/2023,86909
08/20/2023,79169
08/21/2023,61371
08/22/2023,82996
08/23/2023,56484
08/24/2023,9917
08/25/2023,40754
08/26/2023,60767
08/27/2023,77346
08/28/2023,34786
08/29/2023,36573
08/30/2023,70375
08/31/2023,82003
09/01/2023,81127
09/02/2023,79051
09/03/2023,73460
09/04/2023,70303
09/05/2023,65123
09/06/2023,66952
09/07/2023,37343
09/08/2023,65651
09/09/2023,53224
09/10/2023,27303
09/11/2023,47781
09/12/2023,67464
09/13/2023,54764
09/14/2023,75767
09/15/2023,75769
09/16/2023,74764
09/17/2023,30035
09/18/2023,42057
09/19/2023,69144
09/20/2023,67304
09/21/2023,67889
09/22/2023,50218
09/23/2023,13659
09/24/2023,7446
09/25/2023,17702
09/26/2023,15241
09/27/2023,66984
09/28/2023,24734
09/29/2023,28793
09/30/2023,34461
10/01/2023,63000
10/02/2023,54389
10/03/2023,59840
10/04/2023,58942
10/05/2023,55642
10/06/2023,25185
10/07/2023,16934
10/08/2023,39323
10/09/2023,47113
10/10/2023,48545
10/11/2023,59449
10/12/2023,45185
10/13/2023,59649
10/14/2023,4395
10/15/2023,38976
10/16/2023,43692
10/17/2023,36101
10/18/2023,38950
10/19/2023,34918
10/20/2023,29222
10/21/2023,26407
10/22/2023,46375
10/23/2023,55374
10/24/2023,51403
10/25/2023,41161
10/26/2023,45189
10/27/2023,28818
10/28/2023,38274
10/29/2023,8791
10/30/2023,7830
10/31/2023,41075
11/01/2023,46639
11/02/2023,49248
11/03/2023,47604
11/04/2023,23908
11/05/2023,39921
11/06/2023,42965
11/07/2023,30246
11/08/2023,43378
11/09/2023,25210
11/10/2023,11240
11/11/2023,35833
11/12/2023,38535
11/13/2023,35478
11/14/2023,42693
11/15/2023,35571
11/16/2023,37566
11/17/2023,24865
11/18/2023,38134
11/19/2023,40053
11/20/2023,35615
11/21/2023,6238
11/22/2023,17342
