Date,Time,User,Device,Event
04/23/2024,08:00 PM,Device Event,Jedlovec Manor - Main,Schedule mode status set to Following Schedule - Sleep
04/23/2024,08:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/23/2024,08:19 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/23/2024,08:39 PM,Device Event,Jedlovec Manor - Main,Humidity 37%
04/23/2024,08:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/23/2024,08:46 PM,Device Event,Jedlovec Manor Upstairs,Humidity 44%
04/23/2024,08:47 PM,Device Event,Jedlovec Manor - Main,New temperature 68
04/23/2024,08:52 PM,Device Event,Jedlovec Manor - Main,New temperature 69
04/23/2024,09:03 PM,Device Event,Jedlovec Manor Upstairs,Humidity 45%
04/23/2024,09:04 PM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/23/2024,09:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/23/2024,09:16 PM,Device Event,Jedlovec Manor - Main,Humidity 38%
04/23/2024,09:17 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/23/2024,09:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/23/2024,09:48 PM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/23/2024,09:51 PM,Device Event,Jedlovec Manor Upstairs,Humidity 46%
04/23/2024,10:00 PM,Device Event,Jedlovec Manor Upstairs,Cool setpoint set to 76
04/23/2024,10:00 PM,Device Event,Jedlovec Manor Upstairs,Heat setpoint set to 64
04/23/2024,10:00 PM,Device Event,Jedlovec Manor Upstairs,Schedule mode status set to Following Schedule - Sleep
04/23/2024,10:08 PM,Device Event,Jedlovec Manor - Main,Humidity 39%
04/23/2024,10:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/23/2024,10:13 PM,Device Event,Jedlovec Manor - Main,New temperature 68
04/23/2024,10:14 PM,Device Event,Jedlovec Manor Upstairs,Humidity 47%
04/23/2024,10:30 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/23/2024,10:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/23/2024,10:46 PM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/23/2024,11:09 PM,Device Event,Jedlovec Manor - Main,Humidity 40%
04/23/2024,11:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/23/2024,11:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,12:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,12:12 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,12:17 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/24/2024,12:36 AM,Device Event,Jedlovec Manor - Main,Humidity 41%
04/24/2024,12:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,12:48 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,01:07 AM,Device Event,Jedlovec Manor Upstairs,Humidity 48%
04/24/2024,01:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,01:18 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/24/2024,01:24 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,01:26 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/24/2024,01:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,01:45 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,01:52 AM,Device Event,Jedlovec Manor - Main,New temperature 67
04/24/2024,01:58 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/24/2024,02:02 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,02:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,02:30 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/24/2024,02:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,02:42 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,02:49 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/24/2024,03:04 AM,Device Event,Jedlovec Manor - Main,Humidity 42%
04/24/2024,03:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,03:16 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,03:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,03:48 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/24/2024,04:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,04:20 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,04:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,04:46 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/24/2024,04:55 AM,Device Event,Jedlovec Manor Upstairs,New temperature 64
04/24/2024,05:03 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/24/2024,05:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,05:12 AM,Device Event,Jedlovec Manor Upstairs,New temperature 64
04/24/2024,05:15 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/24/2024,05:29 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,05:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,05:45 AM,Device Event,Jedlovec Manor Upstairs,Schedule mode status set to Following Schedule - Wake
04/24/2024,05:45 AM,Device Event,Jedlovec Manor Upstairs,Cool setpoint set to 75
04/24/2024,05:45 AM,Device Event,Jedlovec Manor Upstairs,Heat setpoint set to 67
04/24/2024,05:45 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/24/2024,05:50 AM,Device Event,Jedlovec Manor Upstairs,New temperature 64
04/24/2024,06:00 AM,Device Event,Jedlovec Manor - Main,New temperature 66
04/24/2024,06:09 AM,Scheduled Event,Jedlovec Manor upstairs ,Switched to 'Day'
04/24/2024,06:09 AM,System Event,Day,'Day' Mode Activated
04/24/2024,06:09 AM,Device Event,Jedlovec Manor Upstairs,Humidity 49%
04/24/2024,06:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,06:16 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/24/2024,06:30 AM,Device Event,Jedlovec Manor - Main,Schedule mode status set to Following Schedule - Home
04/24/2024,06:30 AM,Device Event,Jedlovec Manor - Main,Cool setpoint set to 78
04/24/2024,06:30 AM,Device Event,Jedlovec Manor - Main,Heat setpoint set to 65
04/24/2024,06:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,06:43 AM,Device Event,Jedlovec Manor - Main,Humidity 43%
04/24/2024,06:48 AM,Device Event,Jedlovec Manor Upstairs,New temperature 64
04/24/2024,06:57 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/24/2024,07:02 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,07:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,07:14 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/24/2024,07:24 AM,Device Event,Jedlovec Manor - Main,New temperature 67
04/24/2024,07:30 AM,Device Event,Jedlovec Manor Upstairs,Schedule mode status set to Following Schedule - Home
04/24/2024,07:30 AM,Device Event,Jedlovec Manor Upstairs,Cool setpoint set to 80
04/24/2024,07:30 AM,Device Event,Jedlovec Manor Upstairs,Heat setpoint set to 60
04/24/2024,07:41 AM,Device Event,Jedlovec Manor - Main,New temperature 66
04/24/2024,07:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,07:45 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,07:46 AM,Device Event,Jedlovec Manor - Main,New temperature 67
04/24/2024,07:52 AM,Device Event,Jedlovec Manor Upstairs,Humidity 48%
04/24/2024,08:01 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/24/2024,08:02 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,08:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,08:14 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/24/2024,08:38 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,08:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,08:50 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/24/2024,08:56 AM,Device Event,Jedlovec Manor Upstairs,Humidity 47%
04/24/2024,08:57 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,09:10 AM,Device Event,Jedlovec Manor - Main,New temperature 68
