"","Date/Time","Energy Produced (Wh)"
"1",2022-04-15 00:00:00,0
"2",2022-04-15 00:15:00,0
"3",2022-04-15 00:30:00,0
"4",2022-04-15 00:45:00,0
"5",2022-04-15 01:00:00,0
"6",2022-04-15 01:15:00,0
"7",2022-04-15 01:30:00,0
"8",2022-04-15 01:45:00,0
"9",2022-04-15 02:00:00,0
"10",2022-04-15 02:15:00,0
"11",2022-04-15 02:30:00,0
"12",2022-04-15 02:45:00,0
"13",2022-04-15 03:00:00,0
"14",2022-04-15 03:15:00,0
"15",2022-04-15 03:30:00,0
"16",2022-04-15 03:45:00,0
"17",2022-04-15 04:00:00,0
"18",2022-04-15 04:15:00,0
"19",2022-04-15 04:30:00,0
"20",2022-04-15 04:45:00,0
"21",2022-04-15 05:00:00,0
"22",2022-04-15 05:15:00,0
"23",2022-04-15 05:30:00,0
"24",2022-04-15 05:45:00,0
"25",2022-04-15 06:00:00,0
"26",2022-04-15 06:15:00,0
"27",2022-04-15 06:30:00,0
"28",2022-04-15 06:45:00,0
"29",2022-04-15 07:00:00,0
"30",2022-04-15 07:15:00,0
"31",2022-04-15 07:30:00,0
"32",2022-04-15 07:45:00,0
"33",2022-04-15 08:00:00,0
"34",2022-04-15 08:15:00,0
"35",2022-04-15 08:30:00,0
"36",2022-04-15 08:45:00,0
"37",2022-04-15 09:00:00,0
"38",2022-04-15 09:15:00,0
"39",2022-04-15 09:30:00,0
"40",2022-04-15 09:45:00,0
"41",2022-04-15 10:00:00,0
"42",2022-04-15 10:15:00,0
"43",2022-04-15 10:30:00,0
"44",2022-04-15 10:45:00,0
"45",2022-04-15 11:00:00,0
"46",2022-04-15 11:15:00,0
"47",2022-04-15 11:30:00,0
"48",2022-04-15 11:45:00,0
"49",2022-04-15 12:00:00,0
"50",2022-04-15 12:15:00,0
"51",2022-04-15 12:30:00,0
"52",2022-04-15 12:45:00,0
"53",2022-04-15 13:00:00,0
"54",2022-04-15 13:15:00,0
"55",2022-04-15 13:30:00,0
"56",2022-04-15 13:45:00,0
"57",2022-04-15 14:00:00,0
"58",2022-04-15 14:15:00,0
"59",2022-04-15 14:30:00,0
"60",2022-04-15 14:45:00,0
"61",2022-04-15 15:00:00,0
"62",2022-04-15 15:15:00,1
"63",2022-04-15 15:30:00,3
"64",2022-04-15 15:45:00,4
"65",2022-04-15 16:00:00,4
"66",2022-04-15 16:15:00,4
"67",2022-04-15 16:30:00,12
"68",2022-04-15 16:45:00,71
"69",2022-04-15 17:00:00,122
"70",2022-04-15 17:15:00,234
"71",2022-04-15 17:30:00,633
"72",2022-04-15 17:45:00,911
"73",2022-04-15 18:00:00,1336
"74",2022-04-15 18:15:00,1182
"75",2022-04-15 18:30:00,1013
"76",2022-04-15 18:45:00,807
"77",2022-04-15 19:00:00,450
"78",2022-04-15 19:15:00,68
"79",2022-04-15 19:30:00,12
"80",2022-04-15 19:45:00,0
"81",2022-04-15 20:00:00,0
"82",2022-04-15 20:15:00,0
"83",2022-04-15 20:30:00,0
"84",2022-04-15 20:45:00,0
"85",2022-04-15 21:00:00,0
"86",2022-04-15 21:15:00,0
"87",2022-04-15 21:30:00,0
"88",2022-04-15 21:45:00,0
"89",2022-04-15 22:00:00,0
"90",2022-04-15 22:15:00,0
"91",2022-04-15 22:30:00,0
"92",2022-04-15 22:45:00,0
"93",2022-04-15 23:00:00,0
"94",2022-04-15 23:15:00,0
"95",2022-04-15 23:30:00,0
"96",2022-04-15 23:45:00,0
"97",2022-04-16 00:00:00,0
"98",2022-04-16 00:15:00,0
"99",2022-04-16 00:30:00,0
"100",2022-04-16 00:45:00,0
"101",2022-04-16 01:00:00,0
"102",2022-04-16 01:15:00,0
"103",2022-04-16 01:30:00,0
"104",2022-04-16 01:45:00,0
"105",2022-04-16 02:00:00,0
"106",2022-04-16 02:15:00,0
"107",2022-04-16 02:30:00,0
"108",2022-04-16 02:45:00,0
"109",2022-04-16 03:00:00,0
"110",2022-04-16 03:15:00,0
"111",2022-04-16 03:30:00,0
"112",2022-04-16 03:45:00,0
"113",2022-04-16 04:00:00,0
"114",2022-04-16 04:15:00,0
"115",2022-04-16 04:30:00,0
"116",2022-04-16 04:45:00,0
"117",2022-04-16 05:00:00,0
"118",2022-04-16 05:15:00,0
"119",2022-04-16 05:30:00,0
"120",2022-04-16 05:45:00,0
"121",2022-04-16 06:00:00,0
"122",2022-04-16 06:15:00,0
"123",2022-04-16 06:30:00,0
"124",2022-04-16 06:45:00,22
"125",2022-04-16 07:00:00,84
"126",2022-04-16 07:15:00,83
"127",2022-04-16 07:30:00,118
"128",2022-04-16 07:45:00,201
"129",2022-04-16 08:00:00,320
"130",2022-04-16 08:15:00,631
"131",2022-04-16 08:30:00,891
"132",2022-04-16 08:45:00,1317
"133",2022-04-16 09:00:00,1035
"134",2022-04-16 09:15:00,1054
"135",2022-04-16 09:30:00,1255
"136",2022-04-16 09:45:00,1338
"137",2022-04-16 10:00:00,1284
"138",2022-04-16 10:15:00,865
"139",2022-04-16 10:30:00,816
"140",2022-04-16 10:45:00,1057
"141",2022-04-16 11:00:00,1311
"142",2022-04-16 11:15:00,1110
"143",2022-04-16 11:30:00,2114
"144",2022-04-16 11:45:00,2738
"145",2022-04-16 12:00:00,2000
"146",2022-04-16 12:15:00,1138
"147",2022-04-16 12:30:00,931
"148",2022-04-16 12:45:00,801
"149",2022-04-16 13:00:00,979
"150",2022-04-16 13:15:00,754
"151",2022-04-16 13:30:00,651
"152",2022-04-16 13:45:00,778
"153",2022-04-16 14:00:00,1022
"154",2022-04-16 14:15:00,1021
"155",2022-04-16 14:30:00,642
"156",2022-04-16 14:45:00,485
"157",2022-04-16 15:00:00,2171
"158",2022-04-16 15:15:00,2031
"159",2022-04-16 15:30:00,2300
"160",2022-04-16 15:45:00,1605
"161",2022-04-16 16:00:00,558
"162",2022-04-16 16:15:00,1902
"163",2022-04-16 16:30:00,346
"164",2022-04-16 16:45:00,1704
"165",2022-04-16 17:00:00,1738
"166",2022-04-16 17:15:00,1356
"167",2022-04-16 17:30:00,568
"168",2022-04-16 17:45:00,501
"169",2022-04-16 18:00:00,322
"170",2022-04-16 18:15:00,132
"171",2022-04-16 18:30:00,57
"172",2022-04-16 18:45:00,33
"173",2022-04-16 19:00:00,10
"174",2022-04-16 19:15:00,1
"175",2022-04-16 19:30:00,0
"176",2022-04-16 19:45:00,0
"177",2022-04-16 20:00:00,0
"178",2022-04-16 20:15:00,0
"179",2022-04-16 20:30:00,0
"180",2022-04-16 20:45:00,0
"181",2022-04-16 21:00:00,0
"182",2022-04-16 21:15:00,0
"183",2022-04-16 21:30:00,0
"184",2022-04-16 21:45:00,0
"185",2022-04-16 22:00:00,0
"186",2022-04-16 22:15:00,0
"187",2022-04-16 22:30:00,0
"188",2022-04-16 22:45:00,0
"189",2022-04-16 23:00:00,0
"190",2022-04-16 23:15:00,0
"191",2022-04-16 23:30:00,0
"192",2022-04-16 23:45:00,0
"193",2022-04-17 00:00:00,0
"194",2022-04-17 00:15:00,0
"195",2022-04-17 00:30:00,0
"196",2022-04-17 00:45:00,0
"197",2022-04-17 01:00:00,0
"198",2022-04-17 01:15:00,0
"199",2022-04-17 01:30:00,0
"200",2022-04-17 01:45:00,0
"201",2022-04-17 02:00:00,0
"202",2022-04-17 02:15:00,0
"203",2022-04-17 02:30:00,0
"204",2022-04-17 02:45:00,0
"205",2022-04-17 03:00:00,0
"206",2022-04-17 03:15:00,0
"207",2022-04-17 03:30:00,0
"208",2022-04-17 03:45:00,0
"209",2022-04-17 04:00:00,0
"210",2022-04-17 04:15:00,0
"211",2022-04-17 04:30:00,0
"212",2022-04-17 04:45:00,0
"213",2022-04-17 05:00:00,0
"214",2022-04-17 05:15:00,0
"215",2022-04-17 05:30:00,0
"216",2022-04-17 05:45:00,0
"217",2022-04-17 06:00:00,0
"218",2022-04-17 06:15:00,19
"219",2022-04-17 06:30:00,172
"220",2022-04-17 06:45:00,371
"221",2022-04-17 07:00:00,592
"222",2022-04-17 07:15:00,760
"223",2022-04-17 07:30:00,916
"224",2022-04-17 07:45:00,1039
"225",2022-04-17 08:00:00,1146
"226",2022-04-17 08:15:00,1238
"227",2022-04-17 08:30:00,1308
"228",2022-04-17 08:45:00,1387
"229",2022-04-17 09:00:00,1509
"230",2022-04-17 09:15:00,1600
"231",2022-04-17 09:30:00,1752
"232",2022-04-17 09:45:00,1476
"233",2022-04-17 10:00:00,1925
"234",2022-04-17 10:15:00,1053
"235",2022-04-17 10:30:00,586
"236",2022-04-17 10:45:00,1644
"237",2022-04-17 11:00:00,2069
"238",2022-04-17 11:15:00,2473
"239",2022-04-17 11:30:00,1312
"240",2022-04-17 11:45:00,763
"241",2022-04-17 12:00:00,2068
"242",2022-04-17 12:15:00,2153
"243",2022-04-17 12:30:00,1603
"244",2022-04-17 12:45:00,880
"245",2022-04-17 13:00:00,2322
"246",2022-04-17 13:15:00,2047
"247",2022-04-17 13:30:00,2105
"248",2022-04-17 13:45:00,1640
"249",2022-04-17 14:00:00,2434
"250",2022-04-17 14:15:00,1880
"251",2022-04-17 14:30:00,1803
"252",2022-04-17 14:45:00,2150
"253",2022-04-17 15:00:00,1926
"254",2022-04-17 15:15:00,1686
"255",2022-04-17 15:30:00,1794
"256",2022-04-17 15:45:00,1436
"257",2022-04-17 16:00:00,1165
"258",2022-04-17 16:15:00,2179
"259",2022-04-17 16:30:00,2112
"260",2022-04-17 16:45:00,1704
"261",2022-04-17 17:00:00,2014
"262",2022-04-17 17:15:00,1996
"263",2022-04-17 17:30:00,1875
"264",2022-04-17 17:45:00,1657
"265",2022-04-17 18:00:00,1520
"266",2022-04-17 18:15:00,1244
"267",2022-04-17 18:30:00,1027
"268",2022-04-17 18:45:00,949
"269",2022-04-17 19:00:00,695
"270",2022-04-17 19:15:00,244
"271",2022-04-17 19:30:00,37
"272",2022-04-17 19:45:00,3
"273",2022-04-17 20:00:00,0
"274",2022-04-17 20:15:00,0
"275",2022-04-17 20:30:00,0
"276",2022-04-17 20:45:00,0
"277",2022-04-17 21:00:00,0
"278",2022-04-17 21:15:00,0
"279",2022-04-17 21:30:00,0
"280",2022-04-17 21:45:00,0
"281",2022-04-17 22:00:00,0
"282",2022-04-17 22:15:00,0
"283",2022-04-17 22:30:00,0
"284",2022-04-17 22:45:00,0
"285",2022-04-17 23:00:00,0
"286",2022-04-17 23:15:00,0
"287",2022-04-17 23:30:00,0
"288",2022-04-17 23:45:00,0
"289",2022-04-18 00:00:00,0
"290",2022-04-18 00:15:00,0
"291",2022-04-18 00:30:00,0
"292",2022-04-18 00:45:00,0
"293",2022-04-18 01:00:00,0
"294",2022-04-18 01:15:00,0
"295",2022-04-18 01:30:00,0
"296",2022-04-18 01:45:00,0
"297",2022-04-18 02:00:00,0
"298",2022-04-18 02:15:00,0
"299",2022-04-18 02:30:00,0
"300",2022-04-18 02:45:00,0
"301",2022-04-18 03:00:00,0
"302",2022-04-18 03:15:00,0
"303",2022-04-18 03:30:00,0
"304",2022-04-18 03:45:00,0
"305",2022-04-18 04:00:00,0
"306",2022-04-18 04:15:00,0
"307",2022-04-18 04:30:00,0
"308",2022-04-18 04:45:00,0
"309",2022-04-18 05:00:00,0
"310",2022-04-18 05:15:00,0
"311",2022-04-18 05:30:00,0
"312",2022-04-18 05:45:00,0
"313",2022-04-18 06:00:00,0
"314",2022-04-18 06:15:00,35
"315",2022-04-18 06:30:00,276
"316",2022-04-18 06:45:00,505
"317",2022-04-18 07:00:00,722
"318",2022-04-18 07:15:00,863
"319",2022-04-18 07:30:00,1065
"320",2022-04-18 07:45:00,1029
"321",2022-04-18 08:00:00,1110
"322",2022-04-18 08:15:00,1266
"323",2022-04-18 08:30:00,1118
"324",2022-04-18 08:45:00,693
"325",2022-04-18 09:00:00,855
"326",2022-04-18 09:15:00,1265
"327",2022-04-18 09:30:00,1450
"328",2022-04-18 09:45:00,1463
"329",2022-04-18 10:00:00,1522
"330",2022-04-18 10:15:00,1307
"331",2022-04-18 10:30:00,1281
"332",2022-04-18 10:45:00,1279
"333",2022-04-18 11:00:00,1497
"334",2022-04-18 11:15:00,1484
"335",2022-04-18 11:30:00,1183
"336",2022-04-18 11:45:00,1049
"337",2022-04-18 12:00:00,1087
"338",2022-04-18 12:15:00,1100
"339",2022-04-18 12:30:00,1085
"340",2022-04-18 12:45:00,1076
"341",2022-04-18 13:00:00,1076
"342",2022-04-18 13:15:00,972
"343",2022-04-18 13:30:00,862
"344",2022-04-18 13:45:00,691
"345",2022-04-18 14:00:00,532
"346",2022-04-18 14:15:00,381
"347",2022-04-18 14:30:00,216
"348",2022-04-18 14:45:00,189
"349",2022-04-18 15:00:00,222
"350",2022-04-18 15:15:00,217
"351",2022-04-18 15:30:00,186
"352",2022-04-18 15:45:00,117
"353",2022-04-18 16:00:00,97
"354",2022-04-18 16:15:00,95
"355",2022-04-18 16:30:00,82
"356",2022-04-18 16:45:00,99
"357",2022-04-18 17:00:00,77
"358",2022-04-18 17:15:00,50
"359",2022-04-18 17:30:00,58
"360",2022-04-18 17:45:00,72
"361",2022-04-18 18:00:00,62
"362",2022-04-18 18:15:00,54
"363",2022-04-18 18:30:00,54
"364",2022-04-18 18:45:00,22
"365",2022-04-18 19:00:00,2
"366",2022-04-18 19:15:00,0
"367",2022-04-18 19:30:00,0
"368",2022-04-18 19:45:00,0
"369",2022-04-18 20:00:00,0
"370",2022-04-18 20:15:00,0
"371",2022-04-18 20:30:00,0
"372",2022-04-18 20:45:00,0
"373",2022-04-18 21:00:00,0
"374",2022-04-18 21:15:00,0
"375",2022-04-18 21:30:00,0
"376",2022-04-18 21:45:00,0
"377",2022-04-18 22:00:00,0
"378",2022-04-18 22:15:00,0
"379",2022-04-18 22:30:00,0
"380",2022-04-18 22:45:00,0
"381",2022-04-18 23:00:00,0
"382",2022-04-18 23:15:00,0
"383",2022-04-18 23:30:00,0
"384",2022-04-18 23:45:00,0
"385",2022-04-19 00:00:00,0
"386",2022-04-19 00:15:00,0
"387",2022-04-19 00:30:00,0
"388",2022-04-19 00:45:00,0
"389",2022-04-19 01:00:00,0
"390",2022-04-19 01:15:00,0
"391",2022-04-19 01:30:00,0
"392",2022-04-19 01:45:00,0
"393",2022-04-19 02:00:00,0
"394",2022-04-19 02:15:00,0
"395",2022-04-19 02:30:00,0
"396",2022-04-19 02:45:00,0
"397",2022-04-19 03:00:00,0
"398",2022-04-19 03:15:00,0
