Date/Time,Energy Produced (Wh)
06/25/2023 00:00,0
06/25/2023 00:15,0
06/25/2023 00:30,0
06/25/2023 00:45,0
06/25/2023 01:00,0
06/25/2023 01:15,0
06/25/2023 01:30,0
06/25/2023 01:45,0
06/25/2023 02:00,0
06/25/2023 02:15,0
06/25/2023 02:30,0
06/25/2023 02:45,0
06/25/2023 03:00,0
06/25/2023 03:15,0
06/25/2023 03:30,0
06/25/2023 03:45,0
06/25/2023 04:00,0
06/25/2023 04:15,0
06/25/2023 04:30,0
06/25/2023 04:45,0
06/25/2023 05:00,0
06/25/2023 05:15,0
06/25/2023 05:30,19
06/25/2023 05:45,134
06/25/2023 06:00,300
06/25/2023 06:15,476
06/25/2023 06:30,627
06/25/2023 06:45,742
06/25/2023 07:00,737
06/25/2023 07:15,834
06/25/2023 07:30,965
06/25/2023 07:45,1069
06/25/2023 08:00,1117
06/25/2023 08:15,1179
06/25/2023 08:30,1398
06/25/2023 08:45,1344
06/25/2023 09:00,1377
06/25/2023 09:15,1486
06/25/2023 09:30,1596
06/25/2023 09:45,1727
06/25/2023 10:00,1917
06/25/2023 10:15,1565
06/25/2023 10:30,1472
06/25/2023 10:45,1353
06/25/2023 11:00,1032
06/25/2023 11:15,2182
06/25/2023 11:30,2464
06/25/2023 11:45,1359
06/25/2023 12:00,1929
06/25/2023 12:15,1580
06/25/2023 12:30,1872
06/25/2023 12:45,1632
06/25/2023 13:00,2153
06/25/2023 13:15,1897
06/25/2023 13:30,983
06/25/2023 13:45,2201
06/25/2023 14:00,1680
06/25/2023 14:15,2338
06/25/2023 14:30,2557
06/25/2023 14:45,1612
06/25/2023 15:00,1975
06/25/2023 15:15,1176
06/25/2023 15:30,563
06/25/2023 15:45,180
06/25/2023 16:00,40
06/25/2023 16:15,20
06/25/2023 16:30,103
06/25/2023 16:45,134
06/25/2023 17:00,137
06/25/2023 17:15,105
06/25/2023 17:30,90
06/25/2023 17:45,82
06/25/2023 18:00,73
06/25/2023 18:15,72
06/25/2023 18:30,80
06/25/2023 18:45,96
06/25/2023 19:00,121
06/25/2023 19:15,383
06/25/2023 19:30,405
06/25/2023 19:45,464
06/25/2023 20:00,256
06/25/2023 20:15,67
06/25/2023 20:30,2
06/25/2023 20:45,0
06/25/2023 21:00,0
06/25/2023 21:15,0
06/25/2023 21:30,0
06/25/2023 21:45,0
06/25/2023 22:00,0
06/25/2023 22:15,0
06/25/2023 22:30,0
06/25/2023 22:45,0
06/25/2023 23:00,0
06/25/2023 23:15,0
06/25/2023 23:30,0
06/25/2023 23:45,0
06/26/2023 00:00,0
06/26/2023 00:15,0
06/26/2023 00:30,0
06/26/2023 00:45,0
06/26/2023 01:00,0
06/26/2023 01:15,0
06/26/2023 01:30,0
06/26/2023 01:45,0
06/26/2023 02:00,0
06/26/2023 02:15,0
06/26/2023 02:30,0
06/26/2023 02:45,0
06/26/2023 03:00,0
06/26/2023 03:15,0
06/26/2023 03:30,0
06/26/2023 03:45,0
06/26/2023 04:00,0
06/26/2023 04:15,0
06/26/2023 04:30,0
06/26/2023 04:45,0
06/26/2023 05:00,0
06/26/2023 05:15,4
06/26/2023 05:30,19
06/26/2023 05:45,7
06/26/2023 06:00,9
06/26/2023 06:15,42
06/26/2023 06:30,88
06/26/2023 06:45,195
06/26/2023 07:00,210
06/26/2023 07:15,321
06/26/2023 07:30,382
06/26/2023 07:45,443
06/26/2023 08:00,728
06/26/2023 08:15,594
06/26/2023 08:30,91
06/26/2023 08:45,44
06/26/2023 09:00,149
06/26/2023 09:15,395
06/26/2023 09:30,635
06/26/2023 09:45,670
06/26/2023 10:00,562
06/26/2023 10:15,428
06/26/2023 10:30,286
06/26/2023 10:45,331
06/26/2023 11:00,757
06/26/2023 11:15,1833
06/26/2023 11:30,1433
06/26/2023 11:45,1172
06/26/2023 12:00,1613
06/26/2023 12:15,1554
06/26/2023 12:30,1786
06/26/2023 12:45,962
06/26/2023 13:00,1789
06/26/2023 13:15,1053
06/26/2023 13:30,476
06/26/2023 13:45,509
06/26/2023 14:00,347
06/26/2023 14:15,1589
06/26/2023 14:30,1308
06/26/2023 14:45,121
06/26/2023 15:00,136
06/26/2023 15:15,186
06/26/2023 15:30,1264
06/26/2023 15:45,1985
06/26/2023 16:00,1796
06/26/2023 16:15,1395
06/26/2023 16:30,1629
06/26/2023 16:45,1385
06/26/2023 17:00,1091
06/26/2023 17:15,775
06/26/2023 17:30,605
06/26/2023 17:45,664
06/26/2023 18:00,871
